Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Unidad,Chrome 86.0.4240.111,,,2020-10-23 10:19:15,2020-10-23 10:21:33,2m - 17.978s,FAILED
,,,,,,,
Test Cases/Catalogos/Unidades/Unidad minera/Verify_unit,Chrome 86.0.4240.111,,,2020-10-23 10:19:16,2020-10-23 10:20:31,1m - 15.219s,FAILED
"callTestCase(findTestCase(""Login/La Parrilla""), [:], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:19:17,2020-10-23 10:20:25,1m - 8.791s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:20:25,2020-10-23 10:20:27,2.034s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:20:27,2020-10-23 10:20:29,1.887s,PASSED
"click(findTestObject(""Object Repository/Catalogos/Unidades/button_Unidades Mineras""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:20:29,2020-10-23 10:20:30,0.584s,PASSED
"click(findTestObject(""Object Repository/Catalogos/Unidades/button_Unidad Minera""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:20:30,2020-10-23 10:20:30,0.682s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Mining_unit""), true)",Chrome 86.0.4240.111,,,2020-10-23 10:20:30,2020-10-23 10:20:31,0.500s,PASSED
,,,,,,,
Test Cases/Catalogos/Unidades/Capacidades mineras/Verify_capacity,Chrome 86.0.4240.111,,,2020-10-23 10:20:31,2020-10-23 10:21:33,1m - 2.206s,PASSED
"callTestCase(findTestCase(""Login/La Parrilla""), [:], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:20:31,2020-10-23 10:21:27,55.138s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:21:27,2020-10-23 10:21:29,2.003s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:21:29,2020-10-23 10:21:30,1.551s,PASSED
"click(findTestObject(""Object Repository/Catalogos/Unidades/button_Unidades Mineras""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:21:30,2020-10-23 10:21:31,1.220s,PASSED
"click(findTestObject(""Catalogos/Capacidades/button_Capacidades Mineras""), CONTINUE_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-23 10:21:31,2020-10-23 10:21:32,0.694s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Capacity_mining""), true)",Chrome 86.0.4240.111,,,2020-10-23 10:21:32,2020-10-23 10:21:32,0.040s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 86.0.4240.111,,,2020-10-23 10:21:32,2020-10-23 10:21:33,1.235s,PASSED
